CAND_0003430 | Signal A — YOE impossibility: claims 13.7yr but career history spans only 0.8yr (excess: 12.9yr)
CAND_0003582 | Signal B — Skill impossibility: 3 skills marked 'expert' with 0 months of use: MLflow, Photoshop, Content Writing
CAND_0005291 | Signal A — YOE impossibility: claims 12.8yr but career history spans only 2.2yr (excess: 10.6yr)
CAND_0007353 | Signal C — Duration impossibility: role 'Frontend Engineer' at Wayne Enterprises lasted 166mo but total YOE = 9.9yr (119mo)
CAND_0007413 | Signal A — YOE impossibility: claims 13.3yr but career history spans only 3.1yr (excess: 10.2yr)
CAND_0008960 | Signal C — Duration impossibility: role 'Graphic Designer' at Stark Industries lasted 171mo but total YOE = 10.3yr (124mo)
CAND_0010294 | Signal C — Duration impossibility: role '.NET Developer' at Mphasis lasted 144mo but total YOE = 8.0yr (96mo)
CAND_0010770 | Signal A — YOE impossibility: claims 15.2yr but career history spans only 6.7yr (excess: 8.5yr)
CAND_0013536 | Signal A — YOE impossibility: claims 14.1yr but career history spans only 4.2yr (excess: 9.9yr)
CAND_0016000 | Signal B — Skill impossibility: 5 skills marked 'expert' with 0 months of use: TypeScript, Go, Docker, Hadoop, Photoshop
CAND_0018515 | Signal C — Duration impossibility: role 'Marketing Manager' at Initech lasted 150mo but total YOE = 8.5yr (102mo)
CAND_0024752 | Signal A — YOE impossibility: claims 14.9yr but career history spans only 3.5yr (excess: 11.4yr)
CAND_0025579 | Signal A — YOE impossibility: claims 12.9yr but career history spans only 1.7yr (excess: 11.2yr)
CAND_0033131 | Signal A — YOE impossibility: claims 12.7yr but career history spans only 2.2yr (excess: 10.4yr)
CAND_0033817 | Signal B — Skill impossibility: 4 skills marked 'expert' with 0 months of use: JavaScript, BigQuery, Six Sigma, gRPC
CAND_0033972 | Signal B — Skill impossibility: 3 skills marked 'expert' with 0 months of use: Airflow, OpenCV, Figma
CAND_0035104 | Signal C — Duration impossibility: role 'Software Engineer' at Cognizant lasted 114mo but total YOE = 5.5yr (66mo)
CAND_0036299 | Signal A — YOE impossibility: claims 12.2yr but career history spans only 3.2yr (excess: 9.0yr)
CAND_0036839 | Signal B — Skill impossibility: 3 skills marked 'expert' with 0 months of use: SAP, GCP, Rust
CAND_0037000 | Signal C — Duration impossibility: role 'Machine Learning Engineer' at CRED lasted 48mo but total YOE = 2.7yr (32mo)
CAND_0037539 | Signal C — Duration impossibility: role 'Project Manager' at Stark Industries lasted 106mo but total YOE = 4.9yr (59mo)
CAND_0038431 | Signal A — YOE impossibility: claims 15.0yr but career history spans only 3.2yr (excess: 11.8yr)
CAND_0039754 | Signal A — YOE impossibility: claims 16.2yr but career history spans only 7.6yr (excess: 8.6yr)
CAND_0040075 | Signal C — Duration impossibility: role 'Marketing Manager' at Pied Piper lasted 228mo but total YOE = 15.0yr (180mo)
CAND_0040853 | Signal C — Duration impossibility: role 'Operations Manager' at Initech lasted 61mo but total YOE = 1.1yr (13mo)
CAND_0042245 | Signal B — Skill impossibility: 3 skills marked 'expert' with 0 months of use: Databricks, BentoML, Vue.js
CAND_0042453 | Signal C — Duration impossibility: role 'Marketing Manager' at Pied Piper lasted 98mo but total YOE = 4.2yr (50mo)
