"candidate_id","rank","score","reasoning"
"CAND_0086022",1,0.794315,"Sarvam AI veteran with 5.3 years of experience, this expert in vector search and ranking systems is an immediate priority, though they require relocation from Kolkata."
"CAND_0081846",2,0.788767,"Razorpay's Lead AI Engineer brings 6.7 years of expertise in hybrid retrieval and ranking, though their 30-day notice period requires immediate coordination to secure this founding hire."
"CAND_0071974",3,0.772372,"7.8-year Senior AI Engineer at Netflix with Speech Recognition background and a 87/100 LoRA platform assessment; ranked #3 because unwillingness to relocate from Vizag, Andhra Pradesh is a practical concern for this founding-team role."
"CAND_0008425",4,0.760185,"7.8-year Senior NLP Engineer at Ola with TensorFlow background and a 78/100 Learning to Rank platform assessment; ranked #4 because unwillingness to relocate from Kolkata, West Bengal is a practical concern for this founding-team role."
"CAND_0068811",5,0.758071,"Freshworks veteran with 8.0 years of experience, this expert in Pinecone and vector-based retrieval is a priority hire, though we must navigate their 30-day notice period."
"CAND_0005260",6,0.757627,"Netflix-proven expertise in sub-200ms LLM deployment and RAG architecture makes this 5.2-year veteran an ideal hire, despite the logistical hurdle of a 60-day notice period."
"CAND_0006567",7,0.75716,"Meta engineer with 7.9 years of experience, this expert in ranking systems and LLM fine-tuning is a priority hire, despite a 60-day notice period requiring logistical planning."
"CAND_0018499",8,0.756544,"7.2-year Senior Machine Learning Engineer at Zomato with scikit-learn background and a 94/100 Deep Learning platform assessment; ranked #8 because further verification of production deployment depth would strengthen their case."
"CAND_0041669",9,0.752251,"8.0-year Recommendation Systems Engineer at CRED with Weaviate background and a 84/100 FAISS platform assessment; ranked #9 because unwillingness to relocate from Noida, Uttar Pradesh is a practical concern for this founding-team role."
"CAND_0061257",10,0.75205,"LinkedIn Staff MLE with 8.0 years of experience, this expert in indexing algorithms and ranking systems is a priority hire, despite the 30-day notice period constraint."
"CAND_0094759",11,0.750871,"Meta-proven expertise in production retrieval and Weaviate makes this 8.6-year veteran ideal, though their lower objective assessment in Learning to Rank suggests a potential gap in advanced modeling."
"CAND_0011687",12,0.749974,"Niramai veteran with 7.8 years of experience, this engineer excels in production retrieval and Pinecone-based ranking, though their refusal to relocate limits our current founding team requirements."
"CAND_0046064",13,0.749895,"8.9-year Senior NLP Engineer at Salesforce with Deep Learning background and a 64/100 Python platform assessment; ranked #13 because unwillingness to relocate from Coimbatore, Tamil Nadu is a practical concern for this founding-team role."
"CAND_0037980",14,0.74951,"9.0-year Senior Applied Scientist at Niramai with Text Encoders background and a 74/100 LoRA platform assessment; ranked #14 because further verification of production deployment depth would strengthen their case."
"CAND_0064326",15,0.747952,"Sarvam AI search expertise and 7.6 years of production ranking experience make them ideal, though their 45-day notice period limits immediate availability for our founding team."
"CAND_0002025",16,0.746014,"5.9-year Senior AI Engineer at Apple with Deep Learning background; ranked #16 because unwillingness to relocate from Trivandrum, Kerala is a practical concern for this founding-team role."
"CAND_0077337",17,0.745121,"7.0-year Staff Machine Learning Engineer at Paytm with LlamaIndex background and a 63/100 Semantic Search platform assessment; ranked #17 because further verification of production deployment depth would strengthen their case."
"CAND_0042029",18,0.743313,"Flipkart veteran with 6.5 years of experience, this engineer excels in production retrieval and FAISS, though their low verified PyTorch proficiency limits their immediate technical versatility."
